# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0566	0	1247	0	55	13.376633	6.142983	-133.527660	0.999581	0.015101	0.018283	-0.016579	1	55	6.770272	12.311933	-0.501766	0.667926	0.089969	-0.738611	-0.015303	2	55	7.721981	-11.019196	2.236802	0.837598	-0.309938	-0.446827	-0.052091	3	55	-11.998015	-1.650364	1.290152	0.789487	0.434917	-0.431580	0.036006	4	55	-23.949851	6.682744	-0.097397	0.573768	0.289673	-0.766047	0.007213	5	55	-3.121213	-9.317400	1.527657	0.614790	-0.448942	-0.644056	-0.075342	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0665	1	1467	0	55	13.357779	6.160471	-133.515170	0.999582	0.015147	0.018256	-0.016516	1	55	6.726540	12.402453	-0.470767	0.667857	0.091698	-0.738465	-0.015094	2	55	7.689660	-11.241474	2.470994	0.837430	-0.310866	-0.446486	-0.052188	3	55	-12.048980	-1.613005	1.399523	0.789759	0.434510	-0.431496	0.035961	4	55	-23.820998	6.501251	0.070227	0.573307	0.288709	-0.766757	0.007074	5	55	-3.115658	-9.324557	1.540436	0.614780	-0.448990	-0.644032	-0.075347	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0765	2	1687	0	55	13.342260	6.180804	-133.497770	0.999583	0.015225	0.018205	-0.016461	1	55	6.719139	12.397539	-0.463773	0.667807	0.091301	-0.738559	-0.015144	2	55	7.641357	-11.134771	2.331145	0.837174	-0.311343	-0.446626	-0.052249	3	55	-12.045864	-1.661329	1.346436	0.789703	0.434673	-0.431432	0.035982	4	55	-23.801448	6.532570	-0.056741	0.572932	0.287806	-0.767378	0.006947	5	55	-3.124235	-9.330645	1.535653	0.614716	-0.449095	-0.644018	-0.075359	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0865	3	1907	0	55	13.321461	6.195083	-133.487980	0.999585	0.015219	0.018176	-0.016382	1	55	6.725541	12.395549	-0.467279	0.667804	0.091030	-0.738594	-0.015177	2	55	7.655081	-11.165440	2.431512	0.837218	-0.311564	-0.446387	-0.052267	3	55	-12.002488	-1.648935	1.352361	0.789866	0.434674	-0.431131	0.035993	4	55	-23.819288	6.589787	-0.118726	0.572895	0.287626	-0.767473	0.006922	5	55	-3.119548	-9.338510	1.544726	0.614706	-0.449130	-0.644003	-0.075363	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0965	4	2128	0	55	13.306446	6.212694	-133.475940	0.999587	0.015220	0.018131	-0.016324	1	55	6.725376	12.389759	-0.466149	0.667782	0.090755	-0.738647	-0.015212	2	55	7.683995	-11.253746	2.514093	0.837332	-0.311406	-0.446286	-0.052245	3	55	-11.926161	-1.617178	1.301396	0.789972	0.434794	-0.430814	0.036018	4	55	-23.880994	6.689296	-0.079932	0.572842	0.287740	-0.767470	0.006936	5	55	-3.124616	-9.348259	1.551574	0.614697	-0.449217	-0.643950	-0.075371	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1065	5	2348	0	55	13.288530	6.232311	-133.455700	0.999587	0.015323	0.018098	-0.016230	1	55	6.722934	12.392743	-0.459413	0.667681	0.090543	-0.738764	-0.015241	2	55	7.673420	-11.215436	2.488785	0.837213	-0.311456	-0.446473	-0.052257	3	55	-12.061073	-1.598557	1.405771	0.789475	0.434978	-0.431540	0.036015	4	55	-23.872436	6.652108	-0.035032	0.572534	0.287675	-0.767724	0.006919	5	55	-3.127927	-9.345498	1.555849	0.614603	-0.449289	-0.643988	-0.075381	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1165	6	2569	0	55	13.272488	6.249126	-133.439540	0.999588	0.015355	0.018048	-0.016181	1	55	6.718700	12.382451	-0.443711	0.667618	0.090248	-0.738856	-0.015279	2	55	7.616074	-11.079968	2.270740	0.837049	-0.311377	-0.446836	-0.052261	3	55	-12.066482	-1.608127	1.402188	0.789510	0.434934	-0.431520	0.036010	4	55	-23.860882	6.653421	-0.088750	0.572377	0.287809	-0.767790	0.006932	5	55	-3.121458	-9.349626	1.570867	0.614572	-0.449295	-0.644013	-0.075382	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1265	7	2789	0	55	13.258793	6.258490	-133.420060	0.999590	0.015351	0.018007	-0.016105	1	55	6.728767	12.375250	-0.432084	0.667572	0.090086	-0.738917	-0.015300	2	55	7.683707	-11.272598	2.555331	0.837293	-0.310712	-0.446851	-0.052183	3	55	-12.042874	-1.616763	1.395245	0.789563	0.434971	-0.431385	0.036019	4	55	-23.845668	6.676760	-0.139461	0.572418	0.287992	-0.767691	0.006957	5	55	-3.089855	-9.378543	1.601441	0.614639	-0.449231	-0.643995	-0.075374	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1365	8	3010	0	55	13.236154	6.265679	-133.412600	0.999592	0.015294	0.018009	-0.016038	1	55	6.733134	12.372693	-0.435173	0.667557	0.090046	-0.738935	-0.015305	2	55	7.648078	-11.117945	2.486821	0.837297	-0.310746	-0.446820	-0.052186	3	55	-12.033522	-1.606626	1.394388	0.789669	0.434923	-0.431240	0.036019	4	55	-23.883862	6.705293	-0.090093	0.572745	0.288314	-0.767326	0.007008	5	55	-3.088475	-9.376796	1.619629	0.614654	-0.449251	-0.643966	-0.075376	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1465	9	3230	0	55	13.216674	6.275658	-133.400570	0.999593	0.015304	0.018023	-0.015991	1	55	6.733141	12.382847	-0.426188	0.667527	0.090018	-0.738965	-0.015309	2	55	7.639800	-11.103740	2.472724	0.837257	-0.310832	-0.446832	-0.052196	3	55	-12.034715	-1.594621	1.410781	0.789765	0.434798	-0.431191	0.036006	4	55	-23.879038	6.703597	-0.084024	0.572625	0.288195	-0.767460	0.006989	5	55	-3.097638	-9.368523	1.625808	0.614596	-0.449302	-0.643985	-0.075382	-0	119	nan	nan	nan	nan	nan	nan	nan
