# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 9 Id	Sensor 9 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 10 Id	Sensor 10 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 11 Id	Sensor 11 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 12 Id	Sensor 12 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0445	24	981	0	55	62.8145	36.0440	-143.1964	0.9973	0.0119	-0.0017	-0.0730	1	55	4.3346	0.5837	-0.1183	-0.6235	0.7693	-0.1386	0.0111	2	55	-13.0866	0.4392	0.5325	-0.6167	0.7606	0.2026	0.0052	3	55	-4.1475	5.7065	-10.3661	-0.6579	0.5836	0.4589	-0.1262	4	55	-45.3619	31.7049	-36.9548	-0.7630	0.5099	-0.3267	-0.2260	5	55	-41.6010	3.8567	-51.0657	-0.6773	-0.2452	-0.3631	-0.5910	6	55	-49.7315	3.1941	-8.2515	-0.8594	0.2824	-0.0471	-0.4236	7	55	-35.4418	5.9426	-43.5908	-0.7921	-0.0253	-0.2695	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1628	19.1585	-42.0605	-0.4924	0.7728	0.3894	0.0933	10	55	-18.7479	12.8876	-25.7747	-0.4314	-0.5902	0.2667	-0.6281
0.0470	25	1036	0	55	62.8088	36.0385	-143.1883	0.9973	0.0121	-0.0017	-0.0730	1	55	4.3647	0.5674	-0.0870	-0.6239	0.7690	-0.1388	0.0106	2	55	-13.0993	0.4287	0.5398	-0.6169	0.7605	0.2026	0.0051	3	55	-4.1681	5.7054	-10.3798	-0.6580	0.5835	0.4590	-0.1263	4	55	-45.3519	31.6917	-36.9739	-0.7631	0.5100	-0.3263	-0.2261	5	55	-41.5945	3.8663	-51.1010	-0.6774	-0.2450	-0.3631	-0.5910	6	55	-49.7554	3.2046	-8.2643	-0.8594	0.2823	-0.0469	-0.4237	7	55	-35.4314	5.9487	-43.6401	-0.7922	-0.0252	-0.2694	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1554	19.1633	-42.0691	-0.4926	0.7728	0.3892	0.0932	10	55	-18.7540	12.8748	-25.7639	-0.4313	-0.5903	0.2666	-0.6281
0.0495	26	1091	0	55	62.8084	36.0340	-143.1680	0.9973	0.0122	-0.0017	-0.0729	1	55	4.3729	0.5467	-0.0959	-0.6240	0.7690	-0.1382	0.0106	2	55	-13.0940	0.4216	0.5082	-0.6169	0.7605	0.2028	0.0050	3	55	-4.2128	5.7209	-10.3298	-0.6579	0.5836	0.4589	-0.1262	4	55	-45.3329	31.7283	-37.0308	-0.7631	0.5100	-0.3263	-0.2261	5	55	-41.6060	3.8576	-51.1055	-0.6774	-0.2450	-0.3631	-0.5910	6	55	-49.7434	3.2191	-8.3035	-0.8594	0.2823	-0.0469	-0.4237	7	55	-35.4398	5.9343	-43.6463	-0.7921	-0.0253	-0.2694	-0.5471	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1651	19.1522	-42.0853	-0.4927	0.7727	0.3893	0.0931	10	55	-18.7562	12.8780	-25.7738	-0.4313	-0.5903	0.2666	-0.6281
0.0520	27	1146	0	55	62.8167	36.0298	-143.1728	0.9973	0.0122	-0.0017	-0.0730	1	55	4.3682	0.5069	-0.1034	-0.6240	0.7692	-0.1374	0.0107	2	55	-13.0918	0.4395	0.5423	-0.6169	0.7606	0.2025	0.0051	3	55	-4.1776	5.7478	-10.3377	-0.6580	0.5836	0.4588	-0.1262	4	55	-45.3356	31.7226	-37.0369	-0.7631	0.5099	-0.3264	-0.2261	5	55	-41.6162	3.8893	-51.1262	-0.6774	-0.2449	-0.3632	-0.5909	6	55	-49.7278	3.2142	-8.3179	-0.8594	0.2823	-0.0469	-0.4237	7	55	-35.4591	5.9633	-43.6557	-0.7922	-0.0252	-0.2695	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1414	19.1562	-42.0626	-0.4927	0.7728	0.3891	0.0932	10	55	-18.7480	12.8877	-25.7500	-0.4313	-0.5902	0.2667	-0.6281
0.0545	28	1201	0	55	62.8275	36.0133	-143.1939	0.9973	0.0120	-0.0017	-0.0731	1	55	4.3446	0.4960	-0.1343	-0.6238	0.7695	-0.1365	0.0110	2	55	-13.0967	0.4283	0.5385	-0.6168	0.7606	0.2025	0.0052	3	55	-4.1502	5.7124	-10.3557	-0.6580	0.5835	0.4588	-0.1263	4	55	-45.3532	31.7120	-36.9598	-0.7630	0.5099	-0.3266	-0.2261	5	55	-41.5951	3.8572	-51.0821	-0.6773	-0.2451	-0.3631	-0.5910	6	55	-49.7195	3.2068	-8.3235	-0.8594	0.2824	-0.0471	-0.4236	7	55	-35.4394	5.9416	-43.5909	-0.7922	-0.0253	-0.2694	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1698	19.1723	-42.0542	-0.4924	0.7728	0.3893	0.0934	10	55	-18.7631	12.8886	-25.7538	-0.4314	-0.5902	0.2667	-0.6281
0.0570	29	1256	0	55	62.8251	36.0092	-143.1923	0.9973	0.0122	-0.0017	-0.0730	1	55	4.2900	0.4742	-0.1519	-0.6237	0.7698	-0.1355	0.0112	2	55	-13.1012	0.4104	0.5478	-0.6169	0.7605	0.2025	0.0050	3	55	-4.1609	5.7023	-10.3673	-0.6581	0.5834	0.4588	-0.1264	4	55	-45.3515	31.6840	-36.9692	-0.7631	0.5100	-0.3263	-0.2261	5	55	-41.5900	3.8606	-51.1083	-0.6774	-0.2450	-0.3631	-0.5910	6	55	-49.7291	3.2292	-8.3297	-0.8594	0.2824	-0.0469	-0.4236	7	55	-35.4306	5.9449	-43.6235	-0.7922	-0.0252	-0.2694	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1575	19.1686	-42.0601	-0.4926	0.7728	0.3891	0.0932	10	55	-18.7674	12.8760	-25.7436	-0.4313	-0.5902	0.2666	-0.6281
0.0595	30	1312	0	55	62.8247	36.0038	-143.1755	0.9973	0.0122	-0.0017	-0.0730	1	55	4.2907	0.4818	-0.1704	-0.6237	0.7698	-0.1350	0.0112	2	55	-13.0986	0.4081	0.5250	-0.6170	0.7605	0.2026	0.0050	3	55	-4.2146	5.7049	-10.3194	-0.6581	0.5835	0.4588	-0.1264	4	55	-45.3375	31.7165	-37.0174	-0.7631	0.5100	-0.3263	-0.2261	5	55	-41.6057	3.8513	-51.1090	-0.6774	-0.2450	-0.3631	-0.5910	6	55	-49.7165	3.2477	-8.3277	-0.8594	0.2824	-0.0468	-0.4236	7	55	-35.4404	5.9307	-43.6275	-0.7922	-0.0253	-0.2694	-0.5471	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1708	19.1485	-42.0819	-0.4926	0.7727	0.3894	0.0931	10	55	-18.7716	12.8779	-25.7501	-0.4313	-0.5903	0.2666	-0.6281
0.0620	31	1367	0	55	62.8328	35.9954	-143.1829	0.9973	0.0122	-0.0017	-0.0731	1	55	4.3004	0.5050	-0.1424	-0.6237	0.7698	-0.1352	0.0111	2	55	-13.0972	0.4227	0.5508	-0.6169	0.7605	0.2024	0.0051	3	55	-4.1698	5.7390	-10.3367	-0.6581	0.5835	0.4587	-0.1264	4	55	-45.3438	31.7097	-37.0211	-0.7631	0.5099	-0.3264	-0.2261	5	55	-41.6207	3.8822	-51.1278	-0.6774	-0.2449	-0.3632	-0.5909	6	55	-49.7116	3.2493	-8.3101	-0.8594	0.2824	-0.0469	-0.4236	7	55	-35.4661	5.9633	-43.6388	-0.7922	-0.0251	-0.2695	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1532	19.1523	-42.0566	-0.4926	0.7728	0.3892	0.0932	10	55	-18.7599	12.8938	-25.7335	-0.4313	-0.5902	0.2667	-0.6281
0.0645	32	1422	0	55	62.8439	35.9722	-143.2038	0.9972	0.0119	-0.0017	-0.0731	1	55	4.3227	0.5293	-0.1268	-0.6237	0.7697	-0.1354	0.0111	2	55	-13.0969	0.4192	0.5379	-0.6168	0.7606	0.2024	0.0052	3	55	-4.1478	5.7130	-10.3606	-0.6582	0.5835	0.4587	-0.1265	4	55	-45.3663	31.7049	-36.9504	-0.7630	0.5099	-0.3267	-0.2260	5	55	-41.6050	3.8546	-51.0919	-0.6773	-0.2452	-0.3632	-0.5910	6	55	-49.7096	3.2466	-8.3042	-0.8594	0.2825	-0.0472	-0.4236	7	55	-35.4547	5.9475	-43.5956	-0.7921	-0.0252	-0.2696	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1830	19.1655	-42.0528	-0.4924	0.7728	0.3894	0.0934	10	55	-18.7712	12.8972	-25.7485	-0.4314	-0.5901	0.2668	-0.6281
0.0670	33	1477	0	55	62.8374	35.9595	-143.1961	0.9972	0.0120	-0.0017	-0.0731	1	55	4.3279	0.5643	-0.1008	-0.6238	0.7696	-0.1357	0.0110	2	55	-13.0915	0.4168	0.5433	-0.6170	0.7605	0.2023	0.0050	3	55	-4.1444	5.7168	-10.3781	-0.6583	0.5834	0.4586	-0.1265	4	55	-45.3583	31.6794	-36.9624	-0.7631	0.5100	-0.3264	-0.2260	5	55	-41.5924	3.8643	-51.1167	-0.6773	-0.2451	-0.3632	-0.5910	6	55	-49.7202	3.2629	-8.2986	-0.8594	0.2825	-0.0471	-0.4236	7	55	-35.4366	5.9608	-43.6230	-0.7922	-0.0252	-0.2695	-0.5470	8	119	nan	nan	nan	nan	nan	nan	nan	9	55	-43.1672	19.1706	-42.0621	-0.4925	0.7728	0.3892	0.0933	10	55	-18.7639	12.8965	-25.7443	-0.4314	-0.5902	0.2667	-0.6281
