# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0417	0	919	0	55	13.478052	12.767986	-130.331020	0.998700	0.040413	0.027617	-0.014191	1	55	7.091221	12.282868	-0.508502	0.663053	0.104232	-0.741153	-0.013715	2	55	8.218650	-11.443553	2.499827	0.840841	-0.292130	-0.452908	-0.050211	3	55	-20.124487	4.137552	1.329283	0.856209	0.320342	-0.404642	0.023481	4	55	-32.889400	10.619499	-0.114039	0.599039	0.482218	-0.638310	0.034323	5	55	-2.294444	-9.214516	1.546033	0.614697	-0.441481	-0.649361	-0.074651	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0517	1	1139	0	55	13.481522	12.760214	-130.353330	0.998695	0.040491	0.027703	-0.014155	1	55	7.156646	12.270835	-0.536808	0.662965	0.103520	-0.741330	-0.013805	2	55	8.127162	-11.615809	2.704620	0.841071	-0.291673	-0.452781	-0.050153	3	55	-20.120505	4.142769	1.321922	0.856255	0.320234	-0.404632	0.023468	4	55	-32.889009	10.621660	-0.118844	0.599123	0.482265	-0.638196	0.034333	5	55	-2.286332	-9.227931	1.550116	0.614681	-0.441459	-0.649391	-0.074650	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0617	2	1360	0	55	13.502191	12.625425	-130.310580	0.998682	0.040556	0.028094	-0.014187	1	55	7.267321	12.295229	-0.457391	0.662956	0.103846	-0.741294	-0.013765	2	55	8.245867	-11.386226	2.555692	0.841174	-0.291057	-0.452993	-0.050088	3	55	-20.000944	4.170804	1.410988	0.856361	0.319921	-0.404657	0.023431	4	55	-32.763622	10.636688	-0.025164	0.599349	0.482267	-0.637982	0.034340	5	55	-2.164979	-9.222114	1.665500	0.614547	-0.441489	-0.649496	-0.074657	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0717	3	1580	0	55	13.508518	12.592113	-130.328310	0.998664	0.040798	0.028291	-0.014299	1	55	7.262549	12.308360	-0.450730	0.662809	0.103847	-0.741425	-0.013770	2	55	8.257882	-11.354629	2.621358	0.841226	-0.290918	-0.452989	-0.050071	3	55	-19.997022	4.179236	1.398681	0.856315	0.319715	-0.404918	0.023397	4	55	-32.775953	10.750735	-0.174331	0.599886	0.482080	-0.637618	0.034331	5	55	-2.287214	-9.129977	1.675815	0.614179	-0.441492	-0.649841	-0.074669	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0816	4	1800	0	55	13.521185	12.555721	-130.361390	0.998652	0.040952	0.028427	-0.014429	1	55	7.264997	12.306673	-0.448377	0.662725	0.103752	-0.741512	-0.013784	2	55	8.190212	-11.369369	2.590773	0.841189	-0.290711	-0.453191	-0.050054	3	55	-20.011766	4.189974	1.378040	0.856277	0.319446	-0.405215	0.023355	4	55	-32.852962	10.718148	-0.002314	0.600120	0.481548	-0.637804	0.034262	5	55	-2.260812	-9.277474	1.745351	0.614602	-0.441459	-0.649466	-0.074652	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0916	5	2020	0	55	13.552915	12.508315	-130.351490	0.998640	0.041270	0.028298	-0.014640	1	55	7.267893	12.288929	-0.438225	0.662487	0.103531	-0.741756	-0.013819	2	55	8.214950	-11.440672	2.676519	0.841194	-0.290138	-0.453556	-0.049999	3	55	-20.009614	4.182298	1.349934	0.856061	0.319435	-0.405679	0.023338	4	55	-32.871726	10.711557	-0.017272	0.599921	0.481632	-0.637927	0.034268	5	55	-2.237320	-9.256824	1.778293	0.614587	-0.441363	-0.649546	-0.074644	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1016	6	2241	0	55	13.513398	12.425630	-130.617190	0.998655	0.040455	0.028827	-0.014864	1	55	7.272888	12.332297	-0.612360	0.663171	0.103253	-0.741182	-0.013831	2	55	8.237957	-11.218432	2.413776	0.841350	-0.290215	-0.453216	-0.049996	3	55	-20.295977	4.102581	1.406742	0.855976	0.318300	-0.406760	0.023166	4	55	-32.803714	10.746214	-0.186599	0.600705	0.481121	-0.637577	0.034220	5	55	-2.271588	-9.227169	1.600407	0.614960	-0.441644	-0.649000	-0.074658	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1116	7	2461	0	55	13.613987	12.390959	-130.604480	0.998642	0.040717	0.028863	-0.014894	1	55	7.142161	12.406780	-0.715753	0.663021	0.104000	-0.741214	-0.013744	2	55	8.224605	-11.220684	2.347324	0.841138	-0.290137	-0.453660	-0.050003	3	55	-20.153916	4.187851	1.358171	0.856027	0.318777	-0.406274	0.023240	4	55	-32.702617	10.644879	-0.171252	0.600215	0.481199	-0.637980	0.034215	5	55	-2.289120	-9.199439	1.572359	0.614543	-0.441482	-0.649505	-0.074656	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1216	8	2682	0	55	13.693642	12.404027	-130.634740	0.998619	0.041351	0.028701	-0.015026	1	55	7.089062	12.293624	-0.628177	0.662551	0.104646	-0.741544	-0.013680	2	55	8.246036	-11.379125	2.491859	0.841065	-0.289752	-0.454044	-0.049971	3	55	-20.207415	4.135178	1.337594	0.855749	0.318751	-0.406882	0.023215	4	55	-32.737775	10.577724	-0.247241	0.599795	0.481369	-0.638246	0.034226	5	55	-2.296481	-9.318702	1.562010	0.614339	-0.441659	-0.649575	-0.074680	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1316	9	2902	0	55	13.713034	12.332976	-130.639470	0.998624	0.041142	0.028700	-0.015287	1	55	7.152309	12.330416	-0.520181	0.662875	0.104622	-0.741258	-0.013673	2	55	8.247977	-11.309810	2.502776	0.841141	-0.289817	-0.453862	-0.049972	3	55	-20.178299	4.192154	1.351557	0.855841	0.318649	-0.406768	0.023207	4	55	-32.725682	10.608800	-0.205536	0.600011	0.480895	-0.638404	0.034164	5	55	-2.268215	-9.352887	1.619277	0.614513	-0.441657	-0.649412	-0.074674	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1416	10	3123	0	55	13.736549	12.257559	-130.764570	0.998633	0.040816	0.028752	-0.015514	1	55	7.165859	12.319268	-0.573903	0.662988	0.104165	-0.741221	-0.013725	2	55	8.221032	-11.365489	2.516558	0.841196	-0.289953	-0.453673	-0.049982	3	55	-20.374334	4.248347	1.396834	0.856060	0.317226	-0.407431	0.023017	4	55	-32.713897	10.625505	-0.261745	0.600307	0.480412	-0.638493	0.034104	5	55	-2.232512	-9.254752	1.556457	0.614613	-0.441214	-0.649624	-0.074629	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1516	11	3343	0	55	13.819474	12.214088	-130.759810	0.998638	0.040785	0.028565	-0.015560	1	55	7.200832	12.295581	-0.522912	0.662922	0.104150	-0.741282	-0.013729	2	55	8.321909	-11.436738	2.578643	0.841369	-0.289590	-0.453588	-0.049936	3	55	-20.240176	4.191885	1.362272	0.855997	0.317818	-0.407097	0.023098	4	55	-32.688165	10.590054	-0.243273	0.600327	0.480310	-0.638552	0.034090	5	55	-2.238799	-9.276644	1.547845	0.614647	-0.441412	-0.649455	-0.074646	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1616	12	3563	0	55	13.821107	12.171469	-130.796660	0.998633	0.040785	0.028718	-0.015624	1	55	7.199654	12.352494	-0.541418	0.662760	0.104595	-0.741365	-0.013680	2	55	8.347663	-11.411801	2.527789	0.841293	-0.289581	-0.453734	-0.049940	3	55	-20.097637	4.187288	1.310061	0.855905	0.318675	-0.406613	0.023216	4	55	-32.681726	10.624064	-0.231195	0.600454	0.480265	-0.638465	0.034088	5	55	-2.183408	-9.327189	1.633716	0.614743	-0.441381	-0.649386	-0.074640	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1716	13	3783	0	55	13.849235	12.155623	-130.826490	0.998635	0.040746	0.028648	-0.015731	1	55	7.186895	12.345143	-0.561745	0.662635	0.104744	-0.741456	-0.013666	2	55	8.319862	-11.480376	2.587462	0.841449	-0.289890	-0.453245	-0.049959	3	55	-20.233481	4.242050	1.386480	0.856062	0.317730	-0.407029	0.023090	4	55	-32.708425	10.635204	-0.242205	0.600485	0.480132	-0.638538	0.034070	5	55	-2.217452	-9.248202	1.597302	0.614639	-0.441246	-0.649578	-0.074631	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1816	14	4004	0	55	13.895912	12.148405	-130.788070	0.998630	0.040904	0.028441	-0.015974	1	55	7.159010	12.372140	-0.536067	0.662597	0.104467	-0.741528	-0.013701	2	55	8.256112	-11.352570	2.541776	0.841272	-0.290291	-0.453311	-0.050009	3	55	-20.239146	4.174620	1.374097	0.855662	0.318395	-0.407347	0.023157	4	55	-32.750706	10.626307	-0.219376	0.600270	0.479957	-0.638872	0.034038	5	55	-2.307588	-9.325218	1.578538	0.614542	-0.441900	-0.649218	-0.074695	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1916	15	4224	0	55	13.948608	12.112042	-130.790570	0.998630	0.040944	0.028297	-0.016129	1	55	7.204854	12.331339	-0.525547	0.662672	0.104489	-0.741458	-0.013695	2	55	8.336267	-11.505477	2.420786	0.841304	-0.290368	-0.453202	-0.050014	3	55	-20.214367	4.141655	1.338571	0.855472	0.318899	-0.407348	0.023216	4	55	-32.751608	10.613653	-0.204834	0.600150	0.479744	-0.639148	0.034003	5	55	-2.283132	-9.338686	1.589581	0.614580	-0.441871	-0.649201	-0.074692	-0	119	nan	nan	nan	nan	nan	nan	nan
0.2015	16	4444	0	55	13.825828	12.213282	-130.745500	0.998635	0.040860	0.028551	-0.015607	1	55	7.107396	12.443567	-0.492775	0.662764	0.105859	-0.741185	-0.013525	2	55	8.293989	-11.373112	2.545931	0.841313	-0.289902	-0.453488	-0.049969	3	55	-20.217529	4.229970	1.398148	0.855622	0.319850	-0.406278	0.023366	4	55	-32.830920	10.693339	-0.110825	0.600284	0.480412	-0.638514	0.034104	5	55	-2.303243	-9.111159	1.678790	0.614557	-0.440639	-0.650073	-0.074577	-0	119	nan	nan	nan	nan	nan	nan	nan
0.2115	17	4664	0	55	13.859304	12.175093	-130.761410	0.998635	0.040837	0.028489	-0.015754	1	55	7.203842	12.322522	-0.512474	0.662852	0.104656	-0.741274	-0.013669	2	55	8.300382	-11.393503	2.569369	0.841363	-0.289920	-0.453385	-0.049968	3	55	-20.110232	4.213980	1.316020	0.855644	0.320347	-0.405835	0.023440	4	55	-32.820804	10.700483	-0.105594	0.600275	0.480187	-0.638694	0.034071	5	55	-2.371112	-9.106852	1.608749	0.614334	-0.440969	-0.650056	-0.074615	-0	119	nan	nan	nan	nan	nan	nan	nan
