# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0523	0	1153	0	55	19.643900	3.176187	-135.057530	0.997732	0.062163	0.008544	-0.024381	1	55	5.563838	12.853894	0.711069	0.621729	0.029081	-0.782324	-0.023992	2	55	5.015972	-9.587659	4.220575	0.787418	-0.460127	-0.404471	-0.068263	3	55	-13.419214	2.099554	0.471759	0.822788	0.435591	-0.363042	0.038487	4	55	-25.978442	10.252942	0.443316	0.548932	0.316769	-0.773452	0.010138	5	55	-3.211473	-5.773488	1.438130	0.624018	-0.396736	-0.669543	-0.070098	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0623	1	1374	0	55	19.628632	3.167717	-135.066650	0.997735	0.062129	0.008573	-0.024324	1	55	5.562290	12.858921	0.720912	0.621766	0.028995	-0.782298	-0.024001	2	55	5.006019	-9.563823	4.216609	0.787403	-0.460170	-0.404451	-0.068267	3	55	-13.424360	2.119741	0.487162	0.822873	0.435304	-0.363197	0.038448	4	55	-25.986391	10.251685	0.455446	0.548993	0.316661	-0.773454	0.010126	5	55	-3.215969	-5.763339	1.442720	0.623990	-0.396736	-0.669569	-0.070099	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0723	2	1594	0	55	19.621273	3.159864	-135.076970	0.997737	0.062120	0.008553	-0.024267	1	55	5.567414	12.842858	0.718685	0.621771	0.028870	-0.782298	-0.024016	2	55	5.003907	-9.574470	4.222938	0.787444	-0.460104	-0.404447	-0.068259	3	55	-13.434189	2.131731	0.501814	0.822900	0.435050	-0.363445	0.038409	4	55	-25.995634	10.257235	0.460263	0.549054	0.316512	-0.773471	0.010108	5	55	-3.220637	-5.762933	1.438928	0.623973	-0.396787	-0.669554	-0.070105	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0823	3	1814	0	55	19.607445	3.150925	-135.089190	0.997739	0.062121	0.008557	-0.024169	1	55	5.577201	12.836162	0.716180	0.621772	0.028858	-0.782298	-0.024017	2	55	5.003608	-9.563144	4.235320	0.787419	-0.460075	-0.404528	-0.068259	3	55	-13.425771	2.136568	0.514937	0.822906	0.434885	-0.363631	0.038383	4	55	-25.991036	10.264286	0.449994	0.549105	0.316480	-0.773448	0.010105	5	55	-3.218449	-5.763277	1.442432	0.623952	-0.396804	-0.669563	-0.070107	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0922	4	2034	0	55	19.593266	3.139009	-135.108220	0.997745	0.062063	0.008568	-0.024092	1	55	5.579789	12.839014	0.713047	0.621811	0.028841	-0.782267	-0.024018	2	55	5.017215	-9.583287	4.255712	0.787468	-0.460016	-0.404501	-0.068251	3	55	-13.386976	1.862213	0.432790	0.821798	0.436114	-0.364652	0.038492	4	55	-25.990207	10.268415	0.442920	0.549190	0.316354	-0.773439	0.010090	5	55	-3.212579	-5.771393	1.440455	0.623971	-0.396790	-0.669554	-0.070105	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1023	5	2255	0	55	19.580084	3.136693	-135.127730	0.997750	0.061998	0.008561	-0.024051	1	55	5.572936	12.836485	0.709170	0.621865	0.028841	-0.782224	-0.024017	2	55	5.008081	-9.594419	4.264222	0.787497	-0.460073	-0.404381	-0.068253	3	55	-13.547329	1.971204	0.524852	0.821944	0.434326	-0.366480	0.038218	4	55	-26.000301	10.272163	0.434517	0.549264	0.316216	-0.773444	0.010074	5	55	-3.233365	-5.770204	1.431053	0.623955	-0.396872	-0.669520	-0.070114	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1122	6	2475	0	55	19.564152	3.129233	-135.141750	0.997754	0.061969	0.008563	-0.023951	1	55	5.575992	12.841996	0.715850	0.621882	0.028904	-0.782209	-0.024009	2	55	5.014627	-9.587648	4.255301	0.787488	-0.460120	-0.404343	-0.068258	3	55	-13.417146	2.027497	0.548666	0.822046	0.434109	-0.366511	0.038191	4	55	-26.003627	10.288921	0.441840	0.549317	0.316147	-0.773434	0.010066	5	55	-3.230745	-5.766142	1.426684	0.623935	-0.396879	-0.669535	-0.070115	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1222	7	2695	0	55	19.547106	3.125091	-135.158050	0.997760	0.061899	0.008587	-0.023877	1	55	5.576620	12.842332	0.717685	0.621930	0.028951	-0.782170	-0.024002	2	55	4.926750	-9.569153	3.846240	0.787528	-0.461105	-0.403128	-0.068331	3	55	-13.489351	2.046207	0.511797	0.821996	0.433436	-0.367431	0.038079	4	55	-26.013271	10.295046	0.440572	0.549395	0.316031	-0.773427	0.010053	5	55	-3.236489	-5.753143	1.418265	0.623915	-0.396882	-0.669551	-0.070116	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1322	8	2915	0	55	19.535952	3.121931	-135.178760	0.997765	0.061851	0.008577	-0.023784	1	55	5.575584	12.846377	0.703528	0.621952	0.029024	-0.782149	-0.023993	2	55	4.949217	-9.578209	4.128089	0.787307	-0.461410	-0.403205	-0.068369	3	55	-13.395773	2.043900	0.496623	0.822057	0.433519	-0.367194	0.038098	4	55	-26.013382	10.296424	0.426562	0.549451	0.315972	-0.773411	0.010046	5	55	-3.235120	-5.752864	1.401380	0.623907	-0.396894	-0.669551	-0.070117	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1422	9	3136	0	55	19.515949	3.118466	-135.202940	0.997773	0.061742	0.008619	-0.023707	1	55	5.571063	12.856683	0.680838	0.622024	0.029093	-0.782090	-0.023982	2	55	4.997111	-9.625528	4.307289	0.787312	-0.461119	-0.403532	-0.068347	3	55	-13.387821	1.976713	0.504864	0.821883	0.433700	-0.367368	0.038113	4	55	-26.021425	10.313343	0.414326	0.549557	0.315919	-0.773357	0.010042	5	55	-3.233413	-5.747636	1.403374	0.623931	-0.396877	-0.669539	-0.070115	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1522	10	3356	0	55	19.496931	3.110961	-135.225020	0.997782	0.061623	0.008647	-0.023630	1	55	5.581355	12.859827	0.682508	0.622133	0.029027	-0.782005	-0.023987	2	55	4.993006	-9.568596	4.155188	0.787153	-0.460982	-0.404000	-0.068347	3	55	-13.430785	2.030594	0.453836	0.822071	0.433187	-0.367561	0.038046	4	55	-26.015598	10.327125	0.413677	0.549682	0.315830	-0.773305	0.010033	5	55	-3.236956	-5.730625	1.396428	0.623928	-0.396892	-0.669533	-0.070116	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1622	11	3577	0	55	19.483238	3.109707	-135.241030	0.997788	0.061573	0.008648	-0.023540	1	55	5.579790	12.869614	0.672309	0.622169	0.028967	-0.781979	-0.023993	2	55	5.019498	-9.566369	4.212308	0.787446	-0.460501	-0.403985	-0.068290	3	55	-13.406296	1.966904	0.398992	0.821859	0.433556	-0.367595	0.038088	4	55	-26.012812	10.334126	0.404449	0.549743	0.315790	-0.773278	0.010029	5	55	-3.239555	-5.731557	1.391930	0.623921	-0.396889	-0.669541	-0.070116	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1722	12	3797	0	55	19.466064	3.104438	-135.258820	0.997794	0.061498	0.008661	-0.023461	1	55	5.585072	12.870288	0.674381	0.622244	0.028758	-0.781926	-0.024016	2	55	5.020812	-9.562405	4.193750	0.787415	-0.460552	-0.403987	-0.068296	3	55	-13.439196	2.087738	0.469069	0.822263	0.433521	-0.366730	0.038114	4	55	-26.003881	10.340471	0.399118	0.549820	0.315726	-0.773249	0.010023	5	55	-3.236971	-5.722061	1.391933	0.623918	-0.396862	-0.669561	-0.070114	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1822	13	4018	0	55	19.448235	3.091203	-135.285100	0.997808	0.061293	0.008676	-0.023409	1	55	5.590511	12.879095	0.667912	0.622430	0.028358	-0.781791	-0.024058	2	55	5.028350	-9.559158	4.163642	0.787440	-0.460539	-0.403953	-0.068293	3	55	-13.430969	2.087756	0.461322	0.822313	0.433280	-0.366907	0.038079	4	55	-25.997429	10.349133	0.409511	0.549987	0.315552	-0.773202	0.010004	5	55	-3.235694	-5.714068	1.392171	0.623993	-0.396838	-0.669505	-0.070109	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1922	14	4238	0	55	19.423290	3.088905	-135.301450	0.997815	0.061214	0.008717	-0.023300	1	55	5.598426	12.881048	0.666892	0.622508	0.028053	-0.781740	-0.024093	2	55	5.034053	-9.539321	4.152160	0.787371	-0.460450	-0.404189	-0.068291	3	55	-13.413109	2.078136	0.455726	0.822289	0.433224	-0.367026	0.038069	4	55	-26.001860	10.360014	0.416466	0.550057	0.315540	-0.773157	0.010004	5	55	-3.228002	-5.713025	1.419475	0.624016	-0.396785	-0.669516	-0.070103	-0	119	nan	nan	nan	nan	nan	nan	nan
