# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0386	0	851	0	55	12.784282	5.057126	-134.390630	0.999257	0.036763	0.011030	0.003439	1	55	7.182213	13.716778	-0.354796	0.663176	0.103287	-0.741174	-0.013827	2	55	6.854479	-10.201166	3.351744	0.793430	-0.528127	-0.293788	-0.072379	3	55	-10.449173	2.057159	0.000498	0.849705	0.358763	-0.385316	0.028675	4	55	-21.553476	11.610937	0.743819	0.538392	-0.001049	-0.842173	-0.029631	5	55	-3.350024	-6.709911	1.626332	0.619408	-0.417028	-0.661218	-0.072192	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0486	1	1072	0	55	12.776445	5.065459	-134.381970	0.999257	0.036774	0.011018	0.003491	1	55	7.190011	13.706018	-0.350737	0.663167	0.103360	-0.741171	-0.013818	2	55	6.850680	-10.211502	3.364605	0.793418	-0.528215	-0.293663	-0.072385	3	55	-10.428056	2.052324	-0.015240	0.849663	0.358867	-0.385310	0.028687	4	55	-21.545082	11.606943	0.742351	0.538366	-0.000883	-0.842190	-0.029612	5	55	-3.342614	-6.709395	1.633393	0.619413	-0.416994	-0.661236	-0.072189	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0586	2	1292	0	55	12.763652	5.079061	-134.374980	0.999253	0.036876	0.011002	0.003526	1	55	7.185245	13.705843	-0.355248	0.663080	0.103448	-0.741238	-0.013810	2	55	6.854667	-10.214572	3.361544	0.793392	-0.528297	-0.293582	-0.072391	3	55	-10.419674	2.045788	-0.031248	0.849600	0.358926	-0.385394	0.028691	4	55	-21.557650	11.605770	0.735155	0.538220	-0.000661	-0.842285	-0.029589	5	55	-3.348493	-6.712160	1.635997	0.619354	-0.417038	-0.661262	-0.072195	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0686	3	1513	0	55	12.751261	5.094366	-134.377110	0.999254	0.036862	0.010985	0.003560	1	55	7.184276	13.703593	-0.365635	0.663120	0.103484	-0.741197	-0.013804	2	55	6.841091	-10.222634	3.353670	0.793383	-0.528381	-0.293457	-0.072397	3	55	-10.427273	2.036541	-0.048556	0.849574	0.358944	-0.385435	0.028692	4	55	-21.572642	11.605831	0.736536	0.538183	-0.000453	-0.842309	-0.029566	5	55	-3.348055	-6.723778	1.634797	0.619399	-0.417022	-0.661230	-0.072192	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0786	4	1733	0	55	12.738461	5.107675	-134.371640	0.999251	0.036938	0.010969	0.003631	1	55	7.184964	13.710121	-0.364869	0.663103	0.103506	-0.741209	-0.013802	2	55	6.837497	-10.223154	3.338055	0.793340	-0.528471	-0.293407	-0.072406	3	55	-10.421407	2.026888	-0.053089	0.849534	0.359017	-0.385455	0.028700	4	55	-21.572709	11.595765	0.735129	0.538075	-0.000154	-0.842379	-0.029533	5	55	-3.348654	-6.732145	1.625675	0.619354	-0.417054	-0.661252	-0.072196	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0886	5	1953	0	55	12.728630	5.121141	-134.368650	0.999250	0.036977	0.010921	0.003707	1	55	7.185475	13.716788	-0.373933	0.663112	0.103535	-0.741197	-0.013798	2	55	6.831853	-10.229734	3.309668	0.793328	-0.528526	-0.293340	-0.072410	3	55	-10.429727	2.028528	-0.055129	0.849534	0.358997	-0.385474	0.028696	4	55	-21.568259	11.588989	0.729303	0.538009	0.000209	-0.842423	-0.029492	5	55	-3.335912	-6.741970	1.631056	0.619361	-0.416950	-0.661312	-0.072186	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0985	6	2173	0	55	12.722064	5.135677	-134.353820	0.999248	0.037044	0.010846	0.003747	1	55	7.192032	13.699662	-0.371255	0.663095	0.103462	-0.741222	-0.013808	2	55	6.836567	-10.241199	3.319703	0.793316	-0.528576	-0.293280	-0.072414	3	55	-10.441814	2.017272	-0.034929	0.849508	0.358957	-0.385568	0.028688	4	55	-21.575169	11.592242	0.720537	0.537891	0.000619	-0.842499	-0.029446	5	55	-3.346115	-6.751539	1.627381	0.619339	-0.417042	-0.661274	-0.072196	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1086	7	2394	0	55	12.710063	5.151585	-134.342010	0.999247	0.037092	0.010793	0.003795	1	55	7.180414	13.689128	-0.375042	0.663075	0.103261	-0.741268	-0.013833	2	55	6.840256	-10.242589	3.330011	0.793292	-0.528644	-0.293221	-0.072420	3	55	-10.464077	2.017298	-0.028098	0.849512	0.358851	-0.385659	0.028673	4	55	-21.583095	11.597028	0.717708	0.537787	0.001047	-0.842567	-0.029398	5	55	-3.357582	-6.770551	1.630882	0.619345	-0.417130	-0.661212	-0.072204	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1185	8	2614	0	55	12.694574	5.163448	-134.331010	0.999245	0.037139	0.010778	0.003850	1	55	7.174750	13.692107	-0.379197	0.663063	0.103124	-0.741297	-0.013850	2	55	6.843375	-10.242019	3.331835	0.793264	-0.528710	-0.293177	-0.072426	3	55	-10.468210	2.030758	-0.017711	0.849541	0.358796	-0.385649	0.028667	4	55	-21.582304	11.579457	0.718394	0.537696	0.001413	-0.842627	-0.029357	5	55	-3.365478	-6.748820	1.625171	0.619272	-0.417098	-0.661301	-0.072203	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1285	9	2834	0	55	12.681719	5.171450	-134.315320	0.999243	0.037174	0.010760	0.003906	1	55	7.185578	13.692224	-0.375518	0.663087	0.102998	-0.741293	-0.013865	2	55	6.834651	-10.225585	3.313007	0.793226	-0.528801	-0.293114	-0.072434	3	55	-10.465062	2.033912	-0.021151	0.849529	0.358838	-0.385634	0.028672	4	55	-21.577773	11.567796	0.732919	0.537612	0.001794	-0.842681	-0.029315	5	55	-3.356062	-6.754302	1.625866	0.619291	-0.417078	-0.661295	-0.072201	-0	119	nan	nan	nan	nan	nan	nan	nan
