# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0540	0	1191	0	55	16.466618	9.337730	-135.718150	0.998793	0.023946	0.025523	-0.034459	1	55	7.678858	15.531456	-0.031843	0.653075	0.240592	-0.718052	0.003124	2	55	7.537806	-14.653601	2.487991	0.830279	-0.436792	-0.340360	-0.063273	3	55	-16.587473	-3.412195	2.292823	0.796224	0.443735	-0.409508	0.037816	4	55	-29.843629	3.442489	1.043541	0.540744	0.364563	-0.757907	0.016302	5	55	-3.176157	-9.891984	1.729926	0.613764	-0.448414	-0.645402	-0.075328	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0640	1	1411	0	55	16.440681	9.360819	-135.734440	0.998796	0.023981	0.025535	-0.034351	1	55	7.686249	15.527987	-0.031153	0.653028	0.240771	-0.718034	0.003146	2	55	7.603076	-14.746576	2.528510	0.830323	-0.437542	-0.339279	-0.063324	3	55	-16.201084	-3.630992	1.879938	0.795365	0.445413	-0.409338	0.038019	4	55	-29.845665	3.441117	1.039614	0.540754	0.365025	-0.757676	0.016364	5	55	-3.184805	-9.877197	1.708587	0.613686	-0.448402	-0.645485	-0.075329	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0740	2	1631	0	55	16.397186	9.383958	-135.732410	0.998800	0.023987	0.025578	-0.034201	1	55	7.702978	15.534021	-0.012245	0.652994	0.241111	-0.717951	0.003189	2	55	7.619008	-14.796349	2.547829	0.830276	-0.438416	-0.338252	-0.063390	3	55	-16.454921	-3.516699	2.230675	0.796228	0.442283	-0.411088	0.037590	4	55	-29.853338	3.452815	1.044303	0.540763	0.365589	-0.757397	0.016440	5	55	-3.179497	-9.866775	1.711862	0.613666	-0.448354	-0.645538	-0.075325	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0840	3	1852	0	55	16.319479	9.370703	-135.571110	0.998832	0.023181	0.025735	-0.033678	1	55	7.789192	15.608643	0.178370	0.653559	0.241730	-0.717229	0.003287	2	55	7.683970	-14.673586	2.678472	0.830268	-0.438952	-0.337569	-0.063429	3	55	-16.393784	-3.422816	2.535742	0.796806	0.441479	-0.410840	0.037504	4	55	-29.768358	3.495849	1.288746	0.541419	0.366215	-0.756623	0.016541	5	55	-3.076501	-9.790264	1.917922	0.614175	-0.447525	-0.645640	-0.075231	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0940	4	2072	0	55	16.281389	9.439224	-135.570740	0.998830	0.023439	0.025623	-0.033653	1	55	7.738023	15.601782	0.158145	0.653296	0.242072	-0.717352	0.003323	2	55	7.612523	-14.636401	2.635885	0.830072	-0.439652	-0.337127	-0.063496	3	55	-16.456703	-3.457462	2.412071	0.796499	0.441423	-0.411498	0.037474	4	55	-29.843610	3.498382	1.261257	0.541189	0.366590	-0.756605	0.016586	5	55	-3.125401	-9.793970	1.882062	0.614062	-0.447706	-0.645619	-0.075252	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1039	5	2292	0	55	16.248825	9.473816	-135.556580	0.998840	0.023345	0.025572	-0.033468	1	55	7.737000	15.600674	0.151944	0.653301	0.242539	-0.717190	0.003383	2	55	7.612320	-14.641351	2.581496	0.830156	-0.440050	-0.336396	-0.063517	3	55	-16.474542	-3.392515	2.423902	0.796782	0.440894	-0.411522	0.037411	4	55	-29.855260	3.502845	1.272375	0.541264	0.367030	-0.756337	0.016647	5	55	-3.123537	-9.798930	1.886802	0.614161	-0.447637	-0.645574	-0.075242	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1139	6	2512	0	55	16.193613	9.702862	-135.483890	0.998840	0.024514	0.025246	-0.032858	1	55	7.611122	15.598477	0.164048	0.652377	0.243964	-0.717546	0.003539	2	55	7.496326	-14.678164	2.590949	0.829965	-0.440014	-0.336913	-0.063531	3	55	-16.585046	-3.436903	2.405969	0.796198	0.441600	-0.411891	0.037482	4	55	-29.993558	3.477263	1.197977	0.540307	0.368620	-0.756243	0.016837	5	55	-3.223032	-9.830560	1.833322	0.613619	-0.447547	-0.646151	-0.075252	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1239	7	2733	0	55	16.066605	9.717542	-135.494610	0.998837	0.024643	0.025539	-0.032629	1	55	7.625844	15.689793	0.164247	0.652369	0.244631	-0.717326	0.003625	2	55	7.471943	-14.563306	2.520844	0.829930	-0.440510	-0.336341	-0.063570	3	55	-16.580673	-3.363768	2.304578	0.796192	0.441530	-0.411976	0.037470	4	55	-29.994133	3.568929	1.185671	0.540333	0.369403	-0.755840	0.016943	5	55	-3.202375	-9.745034	1.848045	0.613457	-0.447426	-0.646389	-0.075246	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1339	8	2953	0	55	16.021545	9.747202	-135.480380	0.998843	0.024757	0.025566	-0.032351	1	55	7.645420	15.703337	0.176363	0.652310	0.245151	-0.717203	0.003690	2	55	7.597921	-14.629057	2.695307	0.830139	-0.439733	-0.336856	-0.063496	3	55	-16.543081	-3.379241	2.285345	0.796142	0.441804	-0.411777	0.037510	4	55	-29.976716	3.577094	1.178524	0.540284	0.370020	-0.755572	0.017025	5	55	-3.170032	-9.729945	1.854797	0.613397	-0.447220	-0.646591	-0.075229	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1439	9	3173	0	55	15.990473	9.753627	-135.395020	0.998847	0.024737	0.025418	-0.032361	1	55	7.646446	15.710542	0.212730	0.652311	0.245231	-0.717174	0.003701	2	55	7.669320	-14.569557	2.753082	0.830465	-0.439044	-0.336965	-0.063419	3	55	-16.579290	-3.351488	2.427302	0.796210	0.441556	-0.411914	0.037476	4	55	-29.983268	3.593110	1.224745	0.540249	0.370067	-0.755574	0.017030	5	55	-3.167540	-9.715931	1.902639	0.613467	-0.447380	-0.646411	-0.075241	-0	119	nan	nan	nan	nan	nan	nan	nan
