# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0436	0	962	0	55	7.740154	6.275590	-134.484650	0.999184	0.016708	0.034133	0.013650	1	55	7.192836	8.218517	0.874437	0.651841	-0.057896	-0.755410	-0.033274	2	55	8.391260	-12.567243	3.809913	0.852098	-0.134473	-0.504703	-0.033492	3	55	-14.852004	-7.364695	-0.100582	0.706576	0.441608	-0.551971	0.032574	4	55	-25.762226	1.817028	0.665128	0.584264	0.173486	-0.792770	-0.007382	5	55	-1.744594	-12.825420	2.142789	0.609267	-0.463188	-0.639020	-0.076841	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0536	1	1182	0	55	7.764178	6.311735	-134.494710	0.999188	0.016649	0.034077	0.013569	1	55	7.062456	8.131444	0.689929	0.653232	-0.048869	-0.754893	-0.032195	2	55	7.956612	-13.327817	3.655236	0.848242	-0.136574	-0.510568	-0.033944	3	55	-15.316299	-7.686157	0.454238	0.711583	0.440685	-0.546241	0.032667	4	55	-25.940167	1.480600	0.530851	0.586814	0.171567	-0.791301	-0.007556	5	55	-1.965932	-13.439527	2.093708	0.609284	-0.467027	-0.636161	-0.077192	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0636	2	1403	0	55	7.797028	6.354077	-134.495320	0.999193	0.016605	0.034020	0.013433	1	55	6.835418	8.182283	0.349011	0.655049	-0.030709	-0.754364	-0.030041	2	55	7.319315	-14.350570	2.981773	0.843047	-0.150172	-0.515214	-0.035706	3	55	-15.313887	-8.237045	0.328976	0.716543	0.441824	-0.538762	0.033063	4	55	-26.013706	1.032419	0.622620	0.591104	0.167860	-0.788895	-0.007908	5	55	-2.307343	-14.276054	2.013032	0.609422	-0.472963	-0.631561	-0.077728	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0736	3	1623	0	55	8.237389	6.494441	-134.657360	0.999249	0.016469	0.032951	0.011988	1	55	6.304912	8.136256	-0.228459	0.657396	-0.000127	-0.753082	-0.026401	2	55	5.937300	-16.283663	1.781405	0.837739	-0.170651	-0.517314	-0.038187	3	55	-15.938622	-9.409470	0.382372	0.721195	0.439862	-0.534145	0.032994	4	55	-26.210029	0.112607	0.224231	0.594415	0.160167	-0.787997	-0.008781	5	55	-2.895575	-15.907628	1.756617	0.610323	-0.482047	-0.623676	-0.078520	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0836	4	1843	0	55	8.381303	6.671411	-134.510930	0.999250	0.016787	0.033053	0.011215	1	55	5.981300	8.790133	-0.248309	0.660623	0.049641	-0.748797	-0.020400	2	55	5.696694	-17.817603	2.859098	0.833784	-0.196671	-0.514230	-0.041137	3	55	-16.344389	-10.509024	0.249580	0.727750	0.435126	-0.529132	0.032613	4	55	-26.341492	-0.694461	0.111663	0.595176	0.156002	-0.788253	-0.009279	5	55	-3.439417	-17.505939	2.024432	0.610718	-0.491957	-0.615385	-0.079395	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0936	5	2064	0	55	8.602842	6.769939	-134.546200	0.999271	0.016341	0.032883	0.010461	1	55	5.918439	9.490080	0.017135	0.665626	0.100736	-0.739321	-0.014062	2	55	4.497912	-21.226023	2.227603	0.833519	-0.250280	-0.490342	-0.046603	3	55	-16.725959	-11.635121	0.627096	0.738921	0.411960	-0.532352	0.029776	4	55	-26.593395	-1.678773	0.037957	0.596723	0.150587	-0.788129	-0.009912	5	55	-4.056326	-19.124295	1.980834	0.611497	-0.503438	-0.605111	-0.080384	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1036	6	2284	0	55	8.749458	6.846489	-134.571170	0.999274	0.016325	0.033010	0.009729	1	55	5.839060	10.551364	0.128310	0.670605	0.138968	-0.728624	-0.009193	2	55	3.034999	-23.737032	0.455860	0.834660	-0.310227	-0.452067	-0.052309	3	55	-15.573727	-11.875790	-1.588761	0.746293	0.387783	-0.540334	0.026655	4	55	-26.420877	-2.459369	0.130096	0.602212	0.141981	-0.785534	-0.010832	5	55	-4.676608	-20.408413	1.955240	0.611303	-0.514243	-0.596027	-0.081336	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1136	7	2504	0	55	8.972966	6.961174	-134.549670	0.999285	0.016366	0.032876	0.009008	1	55	5.378404	11.741012	-0.088711	0.673449	0.165236	-0.720506	-0.005820	2	55	2.570481	-26.270146	1.224867	0.836895	-0.351691	-0.415687	-0.055908	3	55	-16.532667	-13.622744	1.154176	0.754680	0.362371	-0.546438	0.023453	4	55	-26.266870	-3.484299	0.253338	0.606596	0.133918	-0.783563	-0.011711	5	55	-5.068824	-21.722058	2.021683	0.611957	-0.523008	-0.587568	-0.082070	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1235	8	2724	0	55	9.246099	7.068185	-134.567250	0.999299	0.016517	0.032634	0.008028	1	55	5.108773	12.579553	-0.226667	0.674833	0.182554	-0.715025	-0.003592	2	55	1.909641	-27.916985	0.810158	0.838786	-0.378064	-0.387479	-0.058020	3	55	-16.358811	-14.084122	0.452827	0.759647	0.358163	-0.542331	0.023103	4	55	-26.233254	-4.216528	0.187529	0.608362	0.127698	-0.783221	-0.012430	5	55	-5.496476	-22.730632	2.030964	0.612014	-0.530465	-0.580694	-0.082706	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1336	9	2945	0	55	9.492112	7.177436	-134.658620	0.999313	0.016103	0.032661	0.006857	1	55	4.815538	13.220505	-0.471135	0.675445	0.193910	-0.711455	-0.002132	2	55	1.537830	-28.951080	0.917769	0.839989	-0.393438	-0.368948	-0.059178	3	55	-16.040600	-14.910967	-0.065724	0.763106	0.354966	-0.539581	0.022823	4	55	-26.175969	-4.886476	0.294221	0.609337	0.121821	-0.783387	-0.013127	5	55	-5.890750	-23.557658	1.974609	0.612216	-0.536452	-0.574880	-0.083206	-0	119	nan	nan	nan	nan	nan	nan	nan
