# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0510	0	1124	0	55	96.420906	-123.214130	-166.931020	0.869915	-0.087026	-0.013876	-0.485265	1	55	8.955971	13.498750	0.914109	0.573112	0.124330	-0.809874	-0.013760	2	55	-11.040107	-48.508465	3.302171	0.789140	-0.607914	0.053438	-0.069592	3	55	-26.228841	-29.385440	3.097018	0.675851	0.373115	-0.635251	0.021605	4	55	-37.001206	-17.156648	1.092886	0.645915	0.106559	-0.755807	-0.013955	5	55	-13.829057	-40.996948	2.328358	0.649088	-0.590650	-0.471623	-0.085960	-0	55	-84.041733	-22.333174	4.055298	0.429006	0.891838	0.143454	0.000000
0.0610	1	1344	0	55	96.405106	-123.176510	-166.941620	0.869925	-0.086959	-0.013688	-0.485265	1	55	8.907800	13.579813	0.878834	0.573043	0.124963	-0.809826	-0.013684	2	55	-11.043575	-48.442139	3.371439	0.789081	-0.608038	0.052847	-0.069627	3	55	-26.199634	-29.312815	3.203112	0.676362	0.373345	-0.634569	0.021655	4	55	-36.906912	-16.767389	1.190931	0.646103	0.107845	-0.755466	-0.013792	5	55	-13.807028	-40.951959	2.395079	0.649000	-0.590612	-0.471790	-0.085961	-0	55	-83.896942	-22.463226	4.134170	0.428961	0.891944	0.142931	0.000000
0.0709	2	1564	0	55	96.426582	-123.149820	-166.974470	0.869964	-0.086708	-0.013688	-0.485238	1	55	8.837314	13.631453	0.813760	0.572745	0.125651	-0.809932	-0.013607	2	55	-10.544985	-48.683231	2.825409	0.790131	-0.606891	0.050347	-0.069580	3	55	-26.329855	-29.406521	3.249861	0.676400	0.373521	-0.634425	0.021681	4	55	-36.771962	-16.674464	1.297742	0.646199	0.107697	-0.755405	-0.013807	5	55	-13.820894	-40.965091	2.383011	0.648815	-0.590700	-0.471932	-0.085976	-0	55	-83.606125	-22.565561	4.072113	0.428972	0.891787	0.143872	0.000000
0.0810	3	1785	0	55	96.469627	-123.169490	-166.964810	0.870019	-0.086537	-0.013932	-0.485164	1	55	8.830801	13.569733	0.802948	0.572312	0.125548	-0.810253	-0.013630	2	55	-10.870283	-48.590449	3.092237	0.790229	-0.606904	0.048539	-0.069645	3	55	-26.106853	-29.296369	3.262715	0.677124	0.372932	-0.634000	0.021627	4	55	-37.000032	-16.926027	1.218322	0.645182	0.108331	-0.756185	-0.013760	5	55	-13.795139	-41.008032	2.332621	0.648744	-0.590730	-0.471993	-0.085982	-0	55	-83.670044	-22.589121	4.224747	0.428852	0.891853	0.143819	0.000000
0.0909	4	2005	0	55	96.450394	-123.128340	-166.986970	0.870056	-0.086389	-0.013772	-0.485129	1	55	8.819963	13.611025	0.828045	0.572134	0.125752	-0.810348	-0.013610	2	55	-10.758802	-48.688319	2.875227	0.790525	-0.606514	0.048666	-0.069595	3	55	-26.347837	-29.464809	3.366408	0.676757	0.372928	-0.634395	0.021613	4	55	-36.975080	-17.031944	1.264016	0.644945	0.108510	-0.756362	-0.013745	5	55	-13.786097	-40.974597	2.398376	0.648551	-0.590809	-0.472156	-0.085997	-0	55	-83.763062	-22.391603	4.119324	0.428750	0.891856	0.144106	0.000000
0.1009	5	2225	0	55	96.459023	-123.084360	-166.975050	0.870119	-0.086122	-0.013768	-0.485063	1	55	8.776195	13.611708	0.859805	0.571705	0.125935	-0.810622	-0.013598	2	55	-10.940054	-48.496090	3.237457	0.789681	-0.607501	0.049929	-0.069667	3	55	-26.428977	-29.451820	3.412671	0.676754	0.373283	-0.634188	0.021662	4	55	-37.004350	-17.062127	1.265559	0.644722	0.109232	-0.756449	-0.013663	5	55	-13.777461	-40.979216	2.453791	0.648345	-0.590910	-0.472309	-0.086014	-0	55	-83.728714	-22.438936	4.086304	0.429299	0.891574	0.144216	0.000000
0.1109	6	2446	0	55	96.469986	-123.079990	-166.969880	0.870162	-0.086000	-0.013842	-0.485005	1	55	8.760592	13.597792	0.854656	0.571373	0.126015	-0.810844	-0.013596	2	55	-10.919658	-48.487526	3.272913	0.789809	-0.607381	0.049341	-0.069673	3	55	-26.227323	-29.420445	3.149828	0.677241	0.373677	-0.633434	0.021734	4	55	-36.904775	-16.878438	1.273915	0.644877	0.109980	-0.756211	-0.013567	5	55	-13.751368	-41.002303	2.483538	0.648243	-0.591010	-0.472321	-0.086026	-0	55	-83.735611	-22.470358	4.103561	0.429659	0.891440	0.143971	0.000000
0.1209	7	2666	0	55	96.465622	-123.092800	-166.950970	0.870184	-0.085905	-0.013945	-0.484981	1	55	8.753327	13.595392	0.851842	0.571053	0.126117	-0.811054	-0.013591	2	55	-10.897642	-48.462915	3.314520	0.789920	-0.607276	0.048850	-0.069678	3	55	-26.145814	-29.463052	3.168949	0.677343	0.374219	-0.633001	0.021813	4	55	-36.902298	-17.019676	1.118075	0.645005	0.108537	-0.756306	-0.013740	5	55	-13.709971	-41.035114	2.524961	0.648170	-0.591130	-0.472269	-0.086039	-0	55	-83.740112	-22.470154	4.102951	0.429937	0.891311	0.143943	0.000000
0.1309	8	2887	0	55	96.492638	-123.059980	-166.886510	0.870260	-0.085717	-0.014151	-0.484870	1	55	8.723239	13.598704	0.888787	0.570629	0.126345	-0.811317	-0.013574	2	55	-10.886517	-48.467536	3.363837	0.790138	-0.607046	0.048198	-0.069674	3	55	-26.104394	-29.465041	3.176519	0.677361	0.375249	-0.632368	0.021956	4	55	-36.656885	-16.446265	1.461822	0.645128	0.110680	-0.755895	-0.013474	5	55	-13.684532	-41.048141	2.533544	0.648053	-0.591154	-0.472398	-0.086046	-0	55	-84.032585	-22.622108	3.494705	0.431875	0.890794	0.141313	0.000000
0.1409	9	3107	0	55	96.474785	-123.085240	-166.862630	0.870263	-0.085742	-0.014246	-0.484859	1	55	8.768143	13.567258	0.868051	0.570450	0.126023	-0.811492	-0.013618	2	55	-10.822558	-48.514692	3.300004	0.790412	-0.606720	0.047844	-0.069648	3	55	-26.057121	-29.451419	3.259980	0.677617	0.376230	-0.631505	0.022102	4	55	-36.686914	-16.980833	1.334331	0.643742	0.111986	-0.756886	-0.013355	5	55	-13.631448	-41.068249	2.565427	0.648026	-0.591247	-0.472317	-0.086054	-0	55	-83.889923	-21.743223	3.942139	0.429349	0.890612	0.149895	0.000000
