# AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0496	0	1093	0	55	17.184963	0.970866	-152.024320	0.999782	0.004483	0.016185	-0.012369	1	55	5.804350	12.914881	-0.695997	0.624395	0.065759	-0.778091	-0.019532	2	55	6.187606	-8.767710	2.622353	0.793311	-0.472769	-0.377378	-0.068800	3	55	-10.896838	1.213710	-0.386257	0.843717	0.412394	-0.341672	0.036508	4	55	-21.481412	8.152951	-1.191636	0.512925	0.309426	-0.800683	0.008321	5	55	-2.988304	-6.077298	0.732279	0.630939	-0.398829	-0.661771	-0.070072	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0596	1	1314	0	55	17.198772	0.991592	-151.994320	0.999781	0.004575	0.016159	-0.012482	1	55	5.792522	12.942035	-0.707419	0.624431	0.065421	-0.778090	-0.019572	2	55	6.178081	-8.780260	2.598825	0.793342	-0.473146	-0.376834	-0.068825	3	55	-10.861246	1.297635	-0.321366	0.844838	0.407386	-0.344969	0.035804	4	55	-21.378611	8.229468	-1.233002	0.512013	0.303777	-0.803433	0.007561	5	55	-3.010061	-6.082494	0.724821	0.630921	-0.399050	-0.661653	-0.070094	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0696	2	1534	0	55	17.253067	1.058185	-152.132490	0.999791	0.004036	0.015393	-0.012809	1	55	5.687794	12.891379	-0.965298	0.624855	0.064280	-0.777841	-0.019697	2	55	6.057721	-8.855656	2.298510	0.793922	-0.473244	-0.375495	-0.068790	3	55	-10.953484	1.285598	-0.609704	0.845206	0.404010	-0.348075	0.035299	4	55	-21.388697	8.267444	-1.452577	0.511547	0.295858	-0.806688	0.006516	5	55	-3.123576	-6.146303	0.470098	0.631633	-0.399449	-0.660731	-0.070108	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0795	3	1754	0	55	17.236303	1.072845	-152.052800	0.999780	0.003881	0.015965	-0.013069	1	55	6.111947	13.051861	-0.660665	0.626253	0.064235	-0.776720	-0.019663	2	55	6.077719	-8.745214	2.684516	0.793843	-0.474169	-0.374480	-0.068863	3	55	-10.782098	1.359683	-0.601627	0.845436	0.402405	-0.349397	0.035064	4	55	-21.288034	8.439091	-1.340952	0.511638	0.289117	-0.809077	0.005640	5	55	-3.155211	-6.089653	0.610439	0.631538	-0.399602	-0.660727	-0.070126	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0895	4	1974	0	55	17.900240	1.278234	-151.723530	0.999771	0.006413	0.014707	-0.014188	1	55	5.737534	12.558602	-0.892026	0.623584	0.061361	-0.779086	-0.020084	2	55	5.968754	-9.315506	2.288854	0.793951	-0.475088	-0.373073	-0.068921	3	55	-11.114806	0.853560	-0.456791	0.844313	0.401169	-0.353539	0.034773	4	55	-21.345274	7.891099	-1.388206	0.508882	0.280300	-0.813911	0.004434	5	55	-3.322123	-6.715721	0.654492	0.630347	-0.402167	-0.660277	-0.070412	-0	119	nan	nan	nan	nan	nan	nan	nan
0.0995	5	2195	0	55	17.807547	1.253189	-151.637620	0.999758	0.005682	0.015753	-0.014281	1	55	5.752157	12.821259	-0.726604	0.624345	0.062150	-0.778417	-0.019968	2	55	6.049032	-9.194288	2.565444	0.794074	-0.475174	-0.372703	-0.068919	3	55	-10.897748	0.954339	-0.360665	0.844718	0.401876	-0.351751	0.034919	4	55	-21.234411	8.030712	-1.123079	0.509617	0.274480	-0.815437	0.003696	5	55	-3.079393	-6.259511	1.026159	0.630751	-0.399398	-0.661601	-0.070133	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1095	6	2415	0	55	17.963207	1.331598	-151.454270	0.999752	0.006562	0.015512	-0.014570	1	55	5.791447	12.739839	-0.614651	0.623880	0.061961	-0.778804	-0.020003	2	55	6.004238	-9.208987	2.726589	0.793874	-0.475258	-0.373017	-0.068939	3	55	-10.908223	0.979841	-0.249084	0.844551	0.402493	-0.351437	0.035002	4	55	-21.248570	7.993776	-1.123891	0.508597	0.270006	-0.817568	0.003095	5	55	-3.140318	-6.433121	0.814587	0.630913	-0.400900	-0.660522	-0.070272	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1195	7	2635	0	55	17.960073	1.338943	-151.303100	0.999737	0.006957	0.015852	-0.015038	1	55	5.712096	12.768690	-0.588716	0.623506	0.061557	-0.779133	-0.020062	2	55	6.014199	-9.198396	2.965936	0.793819	-0.475589	-0.372707	-0.068968	3	55	-11.038147	1.109175	-0.198914	0.844452	0.402535	-0.351627	0.035001	4	55	-21.231328	8.005460	-0.999202	0.508129	0.266044	-0.819157	0.002574	5	55	-3.084833	-6.327212	0.942171	0.630845	-0.400824	-0.660634	-0.070267	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1295	8	2855	0	55	18.026112	1.347483	-151.213610	0.999727	0.007486	0.016056	-0.015234	1	55	5.770205	12.796959	-0.539574	0.623461	0.061852	-0.779147	-0.020028	2	55	6.064661	-9.022353	2.784019	0.793523	-0.476044	-0.372745	-0.069022	3	55	-10.974563	1.142906	-0.210380	0.844386	0.402574	-0.351741	0.035001	4	55	-21.181644	8.037500	-1.016999	0.507856	0.264001	-0.819988	0.002305	5	55	-3.193627	-6.134402	0.763958	0.630263	-0.400778	-0.661216	-0.070282	-0	119	nan	nan	nan	nan	nan	nan	nan
0.1395	9	3076	0	55	18.096994	1.372163	-151.135450	0.999718	0.007631	0.016308	-0.015503	1	55	5.817952	12.836492	-0.496846	0.623802	0.062263	-0.778843	-0.019969	2	55	5.981798	-8.976973	2.630657	0.793436	-0.476744	-0.372024	-0.069079	3	55	-10.954638	1.128485	-0.163181	0.844352	0.402480	-0.351932	0.034983	4	55	-21.063978	7.908294	-1.006810	0.507904	0.261782	-0.820670	0.002020	5	55	-3.213975	-6.148549	0.854624	0.630403	-0.401119	-0.660872	-0.070310	-0	119	nan	nan	nan	nan	nan	nan	nan
