AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 9 Id	Sensor 9 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 10 Id	Sensor 10 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 11 Id	Sensor 11 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 12 Id	Sensor 12 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0400	14	883	0	55	62.477825	32.901711	-142.758540	0.998872	0.036932	-0.007050	-0.029008	2	55	-67.016090	-63.560612	0.804581	0.786573	0.379091	-0.487435	0.000000	3	55	-70.455414	-54.625107	16.283478	0.783064	0.517253	-0.345342	0.000000	4	55	-84.686882	-43.820812	1.634857	0.780410	0.430175	-0.453773	0.000000	5	55	-66.756432	-0.576305	0.430038	0.642254	0.537477	0.546469	0.000000	6	55	-99.028961	-2.358784	-1.656418	0.788755	0.349594	0.505618	0.000000	7	55	-81.997070	-21.867363	36.632225	0.913190	0.371105	0.168420	0.000000	8	55	-90.505508	-9.111118	-0.698792	0.805774	0.547782	0.225087	0.000000	9	119								10	55	-76.301140	-5.290197	1.497177	0.696145	-0.096690	-0.711360	0.000000	11	55	-72.500023	-34.405544	1.092834	0.613864	-0.045386	0.788106	0.000000
0.0425	15	938	0	55	62.482414	32.907978	-142.766040	0.998871	0.036953	-0.007059	-0.028998	2	55	-67.020782	-63.563370	0.815720	0.786583	0.379074	-0.487433	0.000000	3	55	-70.466248	-54.624741	16.301178	0.783077	0.517214	-0.345369	0.000000	4	55	-84.689987	-43.819244	1.650208	0.780411	0.430157	-0.453787	0.000000	5	55	-66.765305	-0.575447	0.425400	0.642239	0.537511	0.546453	0.000000	6	55	-99.046173	-2.351839	-1.653763	0.788719	0.349665	0.505626	0.000000	7	55	-82.004570	-21.868715	36.638802	0.913188	0.371112	0.168418	0.000000	8	55	-90.490692	-9.117437	-0.671997	0.805811	0.547734	0.225070	0.000000	9	119								10	55	-76.308075	-5.277361	1.496094	0.696163	-0.096741	-0.711336	0.000000	11	55	-72.501717	-34.395546	1.098969	0.613859	-0.045394	0.788109	0.000000
0.0450	16	993	0	55	62.487881	32.906799	-142.750350	0.998870	0.036984	-0.007085	-0.028989	2	55	-67.029442	-63.562439	0.803879	0.786609	0.379040	-0.487417	0.000000	3	55	-70.474167	-54.622711	16.282089	0.783101	0.517178	-0.345369	0.000000	4	55	-84.700844	-43.815434	1.643646	0.780444	0.430107	-0.453779	0.000000	5	55	-66.757736	-0.568510	0.402100	0.642257	0.537533	0.546410	0.000000	6	55	-99.042915	-2.339459	-1.665833	0.788727	0.349717	0.505576	0.000000	7	55	-82.006630	-21.860075	36.623260	0.913190	0.371119	0.168386	0.000000	8	55	-90.491203	-9.105881	-0.691177	0.805810	0.547757	0.225016	0.000000	9	119								10	55	-76.301758	-5.276106	1.485245	0.696142	-0.096763	-0.711353	0.000000	11	55	-72.507385	-34.394829	1.085892	0.613841	-0.045363	0.788125	0.000000
0.0475	17	1048	0	55	62.467350	32.900928	-142.749020	0.998873	0.036935	-0.007006	-0.028989	2	55	-67.014160	-63.553535	0.793198	0.786556	0.379078	-0.487473	0.000000	3	55	-70.445686	-54.625549	16.259216	0.783048	0.517229	-0.345412	0.000000	4	55	-84.672470	-43.814312	1.614059	0.780379	0.430162	-0.453839	0.000000	5	55	-66.745972	-0.576656	0.399796	0.642290	0.537474	0.546430	0.000000	6	55	-99.026199	-2.337067	-1.682312	0.788748	0.349681	0.505569	0.000000	7	55	-81.995644	-21.859703	36.605743	0.913189	0.371133	0.168360	0.000000	8	55	-90.473724	-9.112577	-0.704163	0.805835	0.547718	0.225023	0.000000	9	119								10	55	-76.279991	-5.272236	1.480316	0.696084	-0.096778	-0.711408	0.000000	11	55	-72.487228	-34.388412	1.068985	0.613905	-0.045383	0.788074	0.000000
0.0500	18	1103	0	55	62.480320	32.900940	-142.767560	0.998872	0.036927	-0.007031	-0.028998	2	55	-67.042984	-63.569336	0.803894	0.786621	0.379033	-0.487404	0.000000	3	55	-70.463982	-54.625336	16.276169	0.783068	0.517216	-0.345388	0.000000	4	55	-84.704399	-43.819229	1.633347	0.780441	0.430126	-0.453766	0.000000	5	55	-66.758934	-0.577074	0.422729	0.642271	0.537491	0.546435	0.000000	6	55	-99.039734	-2.346876	-1.659088	0.788739	0.349643	0.505609	0.000000	7	55	-82.007439	-21.860945	36.624901	0.913179	0.371135	0.168415	0.000000	8	55	-90.483826	-9.117624	-0.680588	0.805834	0.547710	0.225045	0.000000	9	119								10	55	-76.300255	-5.283436	1.500000	0.696126	-0.096742	-0.711371	0.000000	11	55	-72.513802	-34.407433	1.078171	0.613829	-0.045370	0.788134	0.000000
0.0525	19	1158	0	55	62.482632	32.901024	-142.772570	0.998872	0.036945	-0.007042	-0.029004	2	55	-67.039864	-63.559856	0.817200	0.786612	0.379043	-0.487409	0.000000	3	55	-70.474365	-54.623436	16.289612	0.783088	0.517177	-0.345400	0.000000	4	55	-84.700577	-43.813957	1.638336	0.780435	0.430149	-0.453755	0.000000	5	55	-66.764603	-0.571911	0.425125	0.642255	0.537503	0.546442	0.000000	6	55	-99.045639	-2.342018	-1.649323	0.788726	0.349652	0.505623	0.000000	7	55	-82.008240	-21.859596	36.629555	0.913180	0.371129	0.168421	0.000000	8	55	-90.497314	-9.114470	-0.670059	0.805825	0.547715	0.225064	0.000000	9	119								10	55	-76.304077	-5.272764	1.500183	0.696141	-0.096759	-0.711355	0.000000	11	55	-72.514565	-34.401794	1.082931	0.613820	-0.045393	0.788140	0.000000
0.0551	20	1214	0	55	62.489281	32.901016	-142.764250	0.998870	0.036975	-0.007073	-0.029005	2	55	-67.042015	-63.562668	0.814026	0.786630	0.379035	-0.487386	0.000000	3	55	-70.479446	-54.623131	16.291702	0.783115	0.517147	-0.345384	0.000000	4	55	-84.718300	-43.810356	1.633423	0.780475	0.430094	-0.453738	0.000000	5	55	-66.768867	-0.572178	0.416840	0.642260	0.537513	0.546426	0.000000	6	55	-99.049713	-2.340473	-1.653290	0.788728	0.349658	0.505617	0.000000	7	55	-82.010048	-21.849356	36.623817	0.913171	0.371158	0.168405	0.000000	8	55	-90.501846	-9.109016	-0.676590	0.805824	0.547722	0.225050	0.000000	9	119								10	55	-76.303268	-5.273830	1.500458	0.696138	-0.096759	-0.711357	0.000000	11	55	-72.521202	-34.402790	1.081223	0.613795	-0.045384	0.788160	0.000000
0.0576	21	1269	0	55	62.473186	32.894474	-142.760280	0.998871	0.036952	-0.007019	-0.029028	2	55	-67.018600	-63.560699	0.805252	0.786589	0.379079	-0.487419	0.000000	3	55	-70.446442	-54.630615	16.280273	0.783081	0.517191	-0.345394	0.000000	4	55	-84.689087	-43.814697	1.601303	0.780430	0.430153	-0.453758	0.000000	5	55	-66.756935	-0.575518	0.413162	0.642285	0.537457	0.546452	0.000000	6	55	-99.028015	-2.339932	-1.663879	0.788761	0.349640	0.505577	0.000000	7	55	-82.001328	-21.852207	36.609436	0.913181	0.371128	0.168421	0.000000	8	55	-90.494873	-9.116947	-0.693207	0.805843	0.547664	0.225123	0.000000	9	119								10	55	-76.291473	-5.276054	1.495483	0.696109	-0.096696	-0.711395	0.000000	11	55	-72.500259	-34.393883	1.082382	0.613857	-0.045373	0.788112	0.000000
0.0600	22	1324	0	55	62.481876	32.890961	-142.771390	0.998872	0.036910	-0.007041	-0.029039	2	55	-67.026527	-63.561871	0.812759	0.786588	0.379102	-0.487402	0.000000	3	55	-70.455109	-54.628410	16.289108	0.783071	0.517214	-0.345383	0.000000	4	55	-84.709076	-43.815765	1.610260	0.780456	0.430154	-0.453713	0.000000	5	55	-66.765999	-0.576384	0.429642	0.642252	0.537487	0.546462	0.000000	6	55	-99.036232	-2.354282	-1.645248	0.788754	0.349588	0.505623	0.000000	7	55	-82.007782	-21.853287	36.622597	0.913162	0.371160	0.168449	0.000000	8	55	-90.503784	-9.116926	-0.682648	0.805816	0.547686	0.225168	0.000000	9	119								10	55	-76.308228	-5.288614	1.506088	0.696160	-0.096634	-0.711353	0.000000	11	55	-72.513504	-34.398117	1.085312	0.613824	-0.045395	0.788137	0.000000
0.0625	23	1379	0	55	62.483932	32.889309	-142.776440	0.998872	0.036881	-0.007054	-0.029051	2	55	-67.025993	-63.563553	0.810440	0.786587	0.379135	-0.487379	0.000000	3	55	-70.463303	-54.622803	16.301804	0.783059	0.517215	-0.345407	0.000000	4	55	-84.709503	-43.809364	1.624847	0.780440	0.430165	-0.453730	0.000000	5	55	-66.773804	-0.566587	0.427811	0.642194	0.537516	0.546501	0.000000	6	55	-99.029373	-2.365261	-1.635101	0.788768	0.349540	0.505636	0.000000	7	55	-82.007607	-21.854998	36.626053	0.913147	0.371191	0.168465	0.000000	8	55	-90.510139	-9.115799	-0.676025	0.805791	0.547713	0.225194	0.000000	9	119								10	55	-76.310921	-5.279320	1.509888	0.696178	-0.096631	-0.711336	0.000000	11	55	-72.514313	-34.386578	1.080490	0.613808	-0.045484	0.788144	0.000000
